0.098   0.778   0.125
0.098   0.778   0.125
0.098   0.778   0.125
0.098   0.778   0.125
0.098   0.778   0.125
0.098   0.778   0.125
0.098   0.778   0.125
0.098   0.778   0.125
0.098   0.778   0.125
0.098   0.778   0.125
0.098   0.778   0.125
0.098   0.778   0.125
0.098   0.778   0.125
0.098   0.778   0.125
0.098   0.778   0.125
0.098   0.778   0.125
0.098   0.778   0.125
0.098   0.778   0.125
0.098   0.778   0.125
0.098   0.778   0.125
0.098   0.778   0.125
0.098   0.778   0.125
0.098   0.778   0.125
0.098   0.778   0.125
0.098   0.778   0.125
