0.599   0.346   0.038
0.599   0.346   0.038
0.599   0.346   0.038
0.599   0.346   0.038
0.599   0.346   0.038
0.599   0.346   0.038
0.599   0.346   0.038
0.599   0.346   0.038
0.599   0.346   0.038
0.599   0.346   0.038
0.599   0.346   0.038
0.599   0.346   0.038
0.599   0.346   0.038
0.599   0.346   0.038
0.599   0.346   0.038
0.599   0.346   0.038
0.599   0.346   0.038
0.599   0.346   0.038
0.599   0.346   0.038
0.599   0.346   0.038
0.599   0.346   0.038
0.599   0.346   0.038
0.599   0.346   0.038
0.599   0.346   0.038
0.599   0.346   0.038
