Sector,Sub-Sector,Technology,Euro No.,Pollutant,Alpha,Beta,Gamma,Delta,Epsilon,Zita,Ita,h,RF,Vmin,Vmax,Equation
Light Commercial Vehicles,Gasoline <3.5 t,LD Euro 6,6c,PM,-4.069990327119620E-12,1.310721746792470E-09,-1.444396714912440E-07,6.842428012899300E-06,-1.206870477962530E-04,1.300292154803190E-03,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,110,Equation 17
Light Commercial Vehicles,Diesel <3.5 t,LD Euro 5 - 2008 Standards,5,PM,2.793480078330620E-14,5.052250653970800E+00,1.547170752519150E-02,-7.044479801084520E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,110,Equation 9
Light Commercial Vehicles,Diesel <3.5 t,LD Euro 6,6,PM,6.348651067043730E+01,3.142959625140570E+01,-2.035484541160830E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,110,Equation 12
Light Commercial Vehicles,Diesel <3.5 t,LD Euro 6,6c,PM,6.348651067043730E+01,3.142959625140570E+01,-2.035484541160830E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,110,Equation 12
Light Commercial Vehicles,Gasoline <3.5 t,LD Euro 5 - 2008 Standards,5,FC,8.897118808658500E+01,1.893814913506530E-02,-6.251812066862190E-01,-8.480898303561630E-05,6.552786142351480E-03,5.649288306550640E+02,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,120,Equation 1
Light Commercial Vehicles,Gasoline <3.5 t,LD Euro 6,6,FC,8.392726754372170E+01,1.922348570957210E-02,-6.180383433691250E-01,-8.395068173874770E-05,6.481778005871410E-03,5.364895189660590E+02,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,120,Equation 1
Light Commercial Vehicles,Gasoline <3.5 t,LD Euro 6,6c,FC,8.140956595732340E+01,1.922358674055810E-02,-5.994959936804800E-01,-8.395130105946680E-05,6.287317681729220E-03,5.203946487892900E+02,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,120,Equation 1
Light Commercial Vehicles,Diesel <3.5 t,LD Euro 5 - 2008 Standards,5,FC,3.948379762520350E+02,-4.961377412326030E-01,1.488406854284990E-03,2.168706034252050E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,110,Equation 9
Light Commercial Vehicles,Diesel <3.5 t,LD Euro 6,6,FC,1.264542107652150E-03,2.188496625353530E+00,3.785609290695320E+02,-4.965202394945130E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,110,Equation 9
Light Commercial Vehicles,Diesel <3.5 t,LD Euro 6,6c,FC,3.672040781435160E+02,-4.965202288419250E-01,1.226607438204540E-03,2.188496351282240E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,110,Equation 9
