Type,SSC_NAME,Subsegment,TEC_NAME,Pollutant,Load,Slope,R2,a,b,c,d,e,f,g,Vmin,Vmax,Function_ID,Speed,Function,Calc_func,100
HDV,Gasoline >3.5 t,RT petrol,Conventional,NOx,100,-6%,0.9785394916,-0.1630401241,4.9808911688,4.9328704462,1.8688634932,-0.0066352879,0,0,12,86,10,86,(a+(b/(1+rxp((((-1)*c)+(d*ln(x)))+(e*x))))),0.11687,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,HC,100,-6%,0.9956657256,0.0752709972,38.589364767,0.9384382564,0.942209413,0.0142602445,0,0,12,86,10,86,(a+(b/(1+rxp((((-1)*c)+(d*ln(x)))+(e*x))))),0.50564,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,PM,100,-6%,0,0,0,0,0,0,0,0,0,0,-1,0,,=,0
HDV,Gasoline >3.5 t,RT petrol,Conventional,FC,100,-6%,0.9839630964,12.5882059492,-20.8546519832,-2.4004478952,0,0,0,0,12,86,13,86,rxp((a+(b/x))+(c*ln(x))),5.22409,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,CO,0,-4%,0.9818662335,-2.11558816808043E-005,0.0049833625,-0.3567784686,9.4341581765,0,0,0,12,86,14,86,(((a*(x^3))+(b*(x^2))+(c*x))+d),2.15183,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,NOx,0,-4%,0.9561782937,-1.33625291455723E-005,0.0031539478,-0.2250071944,5.9574757349,0,0,0,12,86,14,86,(((a*(x^3))+(b*(x^2))+(c*x))+d),1.43414,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,HC,0,-4%,0.9901059033,1.843410455,73.5681819207,-1.0420934208,0.1879406266,0.0735754158,0,0,12,86,10,86,(a+(b/(1+rxp((((-1)*c)+(d*ln(x)))+(e*x))))),1.86348,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,PM,0,-4%,0,0,0,0,0,0,0,0,0,0,-1,0,,=,0
HDV,Gasoline >3.5 t,RT petrol,Conventional,FC,0,-4%,0.9711813221,-0.0006663875,0.1542010478,-10.8926109471,280.3103430409,0,0,0,12,86,14,86,(((a*(x^3))+(b*(x^2))+(c*x))+d),60.15696,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,CO,50,-4%,0.9857138667,0.9776009063,20.1071584239,-0.3982053726,-0.1015085029,0.0851761131,0,0,12,86,10,86,(a+(b/(1+rxp((((-1)*c)+(d*ln(x)))+(e*x))))),0.99157,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,NOx,50,-4%,0.9672842397,0.4973396824,4.9988130903,4.9577247603,1.6642606897,0.0201506714,0,0,12,86,10,86,(a+(b/(1+rxp((((-1)*c)+(d*ln(x)))+(e*x))))),0.57204,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,HC,50,-4%,0.9930101651,1.1367934035,91.4889750695,-0.9517685602,0.4074642257,0.0491840923,0,0,12,86,10,86,(a+(b/(1+rxp((((-1)*c)+(d*ln(x)))+(e*x))))),1.22043,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,PM,50,-4%,0,0,0,0,0,0,0,0,0,0,-1,0,,=,0
HDV,Gasoline >3.5 t,RT petrol,Conventional,FC,50,-4%,0.9758746198,9.3888596597,-8.1773156262,-1.4336506221,0,0,0,0,12,86,13,86,rxp((a+(b/x))+(c*ln(x))),18.31640,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,CO,100,-4%,0.9863399969,0.5829635843,18.9811615846,0.3020934558,0.2431770199,0.0581194142,0,0,12,86,10,86,(a+(b/(1+rxp((((-1)*c)+(d*ln(x)))+(e*x))))),0.64145,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,NOx,100,-4%,0.9662708394,6.7277337215,-14.2736738383,-1.7040713606,0,0,0,0,12,86,13,86,rxp((a+(b/x))+(c*ln(x))),0.35745,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,HC,100,-4%,0.9953793564,0.4546006319,80.5389549192,-0.2756942794,0.7160072531,0.023322474,0,0,12,86,10,86,(a+(b/(1+rxp((((-1)*c)+(d*ln(x)))+(e*x))))),0.79209,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,PM,100,-4%,0,0,0,0,0,0,0,0,0,0,-1,0,,=,0
HDV,Gasoline >3.5 t,RT petrol,Conventional,FC,100,-4%,0.9790197436,10.9881161199,-15.4033251882,-1.843171885,0,0,0,0,12,86,13,86,rxp((a+(b/x))+(c*ln(x))),13.44867,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,CO,0,-2%,0.9912091537,49.5494427353,1.0060616146,-0.8093777859,0,0,0,0,12,86,0,86,((a*(b^x))*(x^c)),2.26471,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,NOx,0,-2%,0.9433708159,61.2195633719,1.0228753006,-1.1162332189,0,0,0,0,12,86,0,86,((a*(b^x))*(x^c)),2.96681,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,HC,0,-2%,0.9948683641,3.8042886652,1.2543914281,-0.6886868344,0,0,0,0,12,86,13,86,rxp((a+(b/x))+(c*ln(x))),2.11959,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,PM,0,-2%,0,0,0,0,0,0,0,0,0,0,-1,0,,=,0
HDV,Gasoline >3.5 t,RT petrol,Conventional,FC,0,-2%,0.9775156454,2451.6108000222,1.017053149,-1.0494069743,0,0,0,0,12,86,0,86,((a*(b^x))*(x^c)),97.93302,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,CO,50,-2%,0.9913762304,2.2666819901,57.7093554857,-0.8726095312,0.3207592484,0.0599588729,0,0,12,86,10,86,(a+(b/(1+rxp((((-1)*c)+(d*ln(x)))+(e*x))))),2.29996,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,NOx,50,-2%,0.94010376,-1.59848665921211E-005,0.0035821573,-0.244466338,7.3842365873,0,0,0,12,86,14,86,(((a*(x^3))+(b*(x^2))+(c*x))+d),2.68650,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,HC,50,-2%,0.9947314157,43.0419020691,-0.6891407087,876.2558139203,-2.6708155177,0,0,0,12,86,1,86,((a*(x^b))+(c*(x^d))),2.00468,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,PM,50,-2%,0,0,0,0,0,0,0,0,0,0,-1,0,,=,0
HDV,Gasoline >3.5 t,RT petrol,Conventional,FC,50,-2%,0.9733753731,-0.0008063346,0.1715776839,-11.5565785154,330.8847178716,0,0,0,12,86,14,86,(((a*(x^3))+(b*(x^2))+(c*x))+d),93.13356,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,CO,100,-2%,0.9896352756,2.2320023959,36.6506338671,-0.8706009711,-0.0036985401,0.083815283,0,0,12,86,10,86,(a+(b/(1+rxp((((-1)*c)+(d*ln(x)))+(e*x))))),2.24355,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,NOx,100,-2%,0.9424494623,-1.63519243881029E-005,0.0036321107,-0.2534628921,7.6673777411,0,0,0,12,86,14,86,(((a*(x^3))+(b*(x^2))+(c*x))+d),2.33192,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,HC,100,-2%,0.9932329303,97.2203857608,1.0066535562,-1.0010710102,0,0,0,0,12,86,0,86,((a*(b^x))*(x^c)),1.99008,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,PM,100,-2%,0,0,0,0,0,0,0,0,0,0,-1,0,,=,0
HDV,Gasoline >3.5 t,RT petrol,Conventional,FC,100,-2%,0.971968069,-0.0007953597,0.1719247852,-11.8437085046,338.3562064574,0,0,0,12,86,14,86,(((a*(x^3))+(b*(x^2))+(c*x))+d),85.45965,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,CO,0,2%,0.9852514647,-2.03211637892846E-005,0.004965743,-0.3764617952,12.5612119735,0,0,0,12,86,14,86,(((a*(x^3))+(b*(x^2))+(c*x))+d),3.98673,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,NOx,0,2%,0.9640365306,30.3617157011,1.0136548487,-0.6091404727,0,0,0,0,12,86,0,86,((a*(b^x))*(x^c)),6.46389,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,HC,0,2%,0.9910597863,50.3836879236,0.9928360391,-0.6068869455,0,0,0,0,12,86,0,86,((a*(b^x))*(x^c)),1.81859,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,PM,0,2%,0,0,0,0,0,0,0,0,0,0,-1,0,,=,0
HDV,Gasoline >3.5 t,RT petrol,Conventional,FC,0,2%,0.9797466833,-0.0006874722,0.1599907878,-11.1066174297,419.9734311024,0,0,0,12,86,14,86,(((a*(x^3))+(b*(x^2))+(c*x))+d),210.82540,86
HDV,Gasoline >3.5 t,RT petrol,Conventional,CO,50,2%,0.9806417909,-2.05215373590954E-005,0.0052927091,-0.3914732434,12.9654988059,0,0,0,12,84,14,84,(((a*(x^3))+(b*(x^2))+(c*x))+d),5.26390,84
HDV,Gasoline >3.5 t,RT petrol,Conventional,NOx,50,2%,0.9645428706,29.8651194102,1.012005876,-0.5499085203,0,0,0,0,12,84,0,84,((a*(b^x))*(x^c)),7.11806,84
HDV,Gasoline >3.5 t,RT petrol,Conventional,HC,50,2%,0.9912553209,55.343340999,0.9951789672,-0.6646947128,0,0,0,0,12,84,0,84,((a*(b^x))*(x^c)),1.93958,84
HDV,Gasoline >3.5 t,RT petrol,Conventional,PM,50,2%,0,0,0,0,0,0,0,0,0,0,-1,0,,=,0
HDV,Gasoline >3.5 t,RT petrol,Conventional,FC,50,2%,0.9793003429,-0.0008551178,0.1868131263,-12.2162066482,454.9663468581,0,0,0,12,84,14,84,(((a*(x^3))+(b*(x^2))+(c*x))+d),240.12667,84
HDV,Gasoline >3.5 t,RT petrol,Conventional,CO,100,2%,0.9629443506,5.49083891507925E-006,0.0024853381,-0.2985907673,12.5102801122,0,0,0,12,82,14,82,(((a*(x^3))+(b*(x^2))+(c*x))+d),7.76472,82
HDV,Gasoline >3.5 t,RT petrol,Conventional,NOx,100,2%,0.9635874724,29.7220408945,1.01069205,-0.5032150502,0,0,0,0,12,82,0,82,((a*(b^x))*(x^c)),7.74042,82
HDV,Gasoline >3.5 t,RT petrol,Conventional,HC,100,2%,0.991445072,54.4456958681,0.9941999089,-0.6620149302,0,0,0,0,12,82,0,82,((a*(b^x))*(x^c)),1.82741,82
HDV,Gasoline >3.5 t,RT petrol,Conventional,PM,100,2%,0,0,0,0,0,0,0,0,0,0,-1,0,,=,0
HDV,Gasoline >3.5 t,RT petrol,Conventional,FC,100,2%,0.973968294,-0.0007876797,0.1824003432,-12.1488383112,478.3680289234,0,0,0,12,82,14,82,(((a*(x^3))+(b*(x^2))+(c*x))+d),274.32179,82
HDV,Gasoline >3.5 t,RT petrol,Conventional,CO,0,4%,0.9579553534,1.34298750067814E-005,0.0017283152,-0.2855588743,12.4278788428,0,0,0,12,83,14,83,(((a*(x^3))+(b*(x^2))+(c*x))+d),8.31188,83
HDV,Gasoline >3.5 t,RT petrol,Conventional,NOx,0,4%,0.9729813926,27.5642036707,1.0109646278,-0.4838450072,0,0,0,0,12,83,0,83,((a*(b^x))*(x^c)),8.03330,83
HDV,Gasoline >3.5 t,RT petrol,Conventional,HC,0,4%,0.9927303857,52.9377459665,0.99139547,-0.6082224665,0,0,0,0,12,83,0,83,((a*(b^x))*(x^c)),1.75806,83
HDV,Gasoline >3.5 t,RT petrol,Conventional,PM,0,4%,0,0,0,0,0,0,0,0,0,0,-1,0,,=,0
HDV,Gasoline >3.5 t,RT petrol,Conventional,FC,0,4%,0.9764196671,-0.0007469388,0.1788149721,-12.0052368508,475.4226342126,0,0,0,12,83,14,83,(((a*(x^3))+(b*(x^2))+(c*x))+d),283.75442,83
HDV,Gasoline >3.5 t,RT petrol,Conventional,CO,50,4%,0.9446518278,-1.40826493955425E-005,0.0053907032,-0.4050062721,13.9042736152,0,0,0,12,76,14,76,(((a*(x^3))+(b*(x^2))+(c*x))+d),8.07855,76
HDV,Gasoline >3.5 t,RT petrol,Conventional,NOx,50,4%,0.9782806405,27.2808592913,1.008938844,-0.4151225833,0,0,0,0,12,76,0,76,((a*(b^x))*(x^c)),8.88828,76
HDV,Gasoline >3.5 t,RT petrol,Conventional,HC,50,4%,0.9938734696,-1.1997288395,99.7474611831,-0.2370631944,0.7167996259,0.0019399231,0,0,12,76,10,76,(a+(b/(1+rxp((((-1)*c)+(d*ln(x)))+(e*x))))),1.75615,76
HDV,Gasoline >3.5 t,RT petrol,Conventional,PM,50,4%,0,0,0,0,0,0,0,0,0,0,-1,0,,=,0
HDV,Gasoline >3.5 t,RT petrol,Conventional,FC,50,4%,0.9768712142,1619.6651816115,1.0139215231,-0.6278456474,0,0,0,0,12,76,0,76,((a*(b^x))*(x^c)),305.41800,76
HDV,Gasoline >3.5 t,RT petrol,Conventional,CO,100,4%,0.95285137,-2.31845469141298E-005,0.0058603955,-0.3985819515,14.5356117604,0,0,0,12,68,14,68,(((a*(x^3))+(b*(x^2))+(c*x))+d),7.24054,68
HDV,Gasoline >3.5 t,RT petrol,Conventional,NOx,100,4%,0.9846739597,26.3992622561,1.0066507935,-0.3458091159,0,0,0,0,12,68,0,68,((a*(b^x))*(x^c)),9.63063,68
HDV,Gasoline >3.5 t,RT petrol,Conventional,HC,100,4%,0.9929424245,55.2233471605,0.9903893404,-0.6391917448,0,0,0,0,12,68,0,68,((a*(b^x))*(x^c)),1.93020,68
HDV,Gasoline >3.5 t,RT petrol,Conventional,PM,100,4%,0,0,0,0,0,0,0,0,0,0,-1,0,,=,0
HDV,Gasoline >3.5 t,RT petrol,Conventional,FC,100,4%,0.981864019,1333.7683914514,1.0101585462,-0.4980402247,0,0,0,0,12,68,0,68,((a*(b^x))*(x^c)),324.26954,68
HDV,Gasoline >3.5 t,RT petrol,Conventional,CO,0,6%,0.9448481528,-2.66527202895351E-005,0.0072115062,-0.4777747597,14.7148590453,0,0,0,12,74,14,74,(((a*(x^3))+(b*(x^2))+(c*x))+d),8.04941,74
HDV,Gasoline >3.5 t,RT petrol,Conventional,NOx,0,6%,0.983133638,53.4008503639,-0.8233112038,1.9558233832,0.3136958341,0,0,0,12,74,1,74,((a*(x^b))+(c*(x^d))),9.08950,74
HDV,Gasoline >3.5 t,RT petrol,Conventional,HC,0,6%,0.9944430888,-1.2203967304,109.0881037677,-0.269718028,0.7304470951,0.0019138714,0,0,12,74,10,74,(a+(b/(1+rxp((((-1)*c)+(d*ln(x)))+(e*x))))),1.81016,74
HDV,Gasoline >3.5 t,RT petrol,Conventional,PM,0,6%,0,0,0,0,0,0,0,0,0,0,-1,0,,=,0
HDV,Gasoline >3.5 t,RT petrol,Conventional,FC,0,6%,0.9814715046,1667.4965478074,1.0143388225,-0.6322769627,0,0,0,0,12,74,0,74,((a*(b^x))*(x^c)),314.58523,74
HDV,Gasoline >3.5 t,RT petrol,Conventional,CO,50,6%,0.9801066144,15.8137265566,-0.2178980015,13688.8876032672,-3.5768507795,0,0,0,12,60,1,60,((a*(x^b))+(c*(x^d))),6.48603,60
HDV,Gasoline >3.5 t,RT petrol,Conventional,NOx,50,6%,0.9942977501,147.5576160596,-1.6739655144,11.8711360713,-0.043081486,0,0,0,12,60,1,60,((a*(x^b))+(c*(x^d))),10.10720,60
HDV,Gasoline >3.5 t,RT petrol,Conventional,HC,50,6%,0.992032654,-1.4885201394,105.9098428829,-0.3225427371,0.697218619,0.0023963204,0,0,12,60,10,60,(a+(b/(1+rxp((((-1)*c)+(d*ln(x)))+(e*x))))),2.20335,60
HDV,Gasoline >3.5 t,RT petrol,Conventional,PM,50,6%,0,0,0,0,0,0,0,0,0,0,-1,0,,=,0
HDV,Gasoline >3.5 t,RT petrol,Conventional,FC,50,6%,0.9904048444,3163008.62022447,1.002185922,278.3429500232,0.0722905346,326.5268116911,0,0,12,60,4,60,((e+(a*rxp(((-1)*b)*x)))+(c*rxp(((-1)*d)*x))),330.16477,60
HDV,Gasoline >3.5 t,RT petrol,Conventional,CO,100,6%,0.8263657378,10.0220577681,5824.9827100167,4.2322257305,5.1796831335,-0.0754993958,0,0,12,51,10,51,(a+(b/(1+rxp((((-1)*c)+(d*ln(x)))+(e*x))))),10.04903,51
HDV,Gasoline >3.5 t,RT petrol,Conventional,NOx,100,6%,0.9903937911,2.2762274668,3.8291576785,0.0382575924,0,0,0,0,12,51,13,51,rxp((a+(b/x))+(c*ln(x))),12.20360,51
HDV,Gasoline >3.5 t,RT petrol,Conventional,HC,100,6%,0.9956914788,27.286902237,-0.5215878527,4153.3273163948,-2.9366232157,0,0,0,12,51,1,51,((a*(x^b))+(c*(x^d))),3.55016,51
HDV,Gasoline >3.5 t,RT petrol,Conventional,PM,100,6%,0,0,0,0,0,0,0,0,0,0,-1,0,,=,0
HDV,Gasoline >3.5 t,RT petrol,Conventional,FC,100,6%,0.9710992018,17511.8053073047,0.5134053335,156.7328059606,0.0790488628,420.1603701422,0,0,12,51,4,51,((e+(a*rxp(((-1)*b)*x)))+(c*rxp(((-1)*d)*x))),422.94204,51
HDV,Rigid <=7.5 t,RT <=7.5t 80ties,Conventional,CO,0,0%,0.9881018301,0.9303660595,22.6756503097,-0.0550969661,0.6457974006,0.0175328825,0,0,12,86,10,86,(a+(b/(1+rxp((((-1)*c)+(d*ln(x)))+(e*x))))),1.19485,86
HDV,Rigid <=7.5 t,RT <=7.5t 80ties,Conventional,NOx,0,0%,0.9540816192,36.3308824974,1.0172152224,-0.7975969988,0,0,0,0,12,86,0,86,((a*(b^x))*(x^c)),4.51680,86
HDV,Rigid <=7.5 t,RT <=7.5t 80ties,Conventional,HC,0,0%,0.9905303495,11.9574712936,0.9912938336,-0.5280830323,0,0,0,0,12,86,0,86,((a*(b^x))*(x^c)),0.53638,86
HDV,Rigid <=7.5 t,RT <=7.5t 80ties,Conventional,PM,0,0%,0.9958762937,4.626046556,1.0046407383,-0.8006282281,0,0,0,0,12,86,0,86,((a*(b^x))*(x^c)),0.19468,86
HDV,Rigid <=7.5 t,RT <=7.5t 80ties,Conventional,FC,0,0%,0.9823576259,1324.254820398,1.012839115,-0.8053951979,0,0,0,0,12,86,0,86,((a*(b^x))*(x^c)),109.75285,86
HDV,Rigid <=7.5 t,RT <=7.5t 80ties,Conventional,CO,50,0%,0.9881906964,1.218635587,19.7976271888,-0.0498126461,0.5484050605,0.0318799941,0,0,12,86,10,86,(a+(b/(1+rxp((((-1)*c)+(d*ln(x)))+(e*x))))),1.32361,86
HDV,Rigid <=7.5 t,RT <=7.5t 80ties,Conventional,NOx,50,0%,0.9468364921,35.5001550333,1.0152149077,-0.7482625292,0,0,0,0,12,86,0,86,((a*(b^x))*(x^c)),4.64199,86
HDV,Rigid <=7.5 t,RT <=7.5t 80ties,Conventional,HC,50,0%,0.9904128648,13.3946033201,0.9927183653,-0.584451361,0,0,0,0,12,86,0,86,((a*(b^x))*(x^c)),0.52887,86
HDV,Rigid <=7.5 t,RT <=7.5t 80ties,Conventional,PM,50,0%,0.9959735183,5.3689440428,1.0069620087,-0.8603357704,0,0,0,0,12,86,0,86,((a*(b^x))*(x^c)),0.21120,86
HDV,Rigid <=7.5 t,RT <=7.5t 80ties,Conventional,FC,50,0%,0.9805847588,1339.4267742085,1.0122926682,-0.7873455055,0,0,0,0,12,86,0,86,((a*(b^x))*(x^c)),114.84819,86
HDV,Rigid <=7.5 t,RT <=7.5t 80ties,Conventional,CO,100,0%,0.9865852272,0.0837434951,0.0142067184,-8.77886861851394E-005,0,0,0,0,12,86,5,86,(1/(((c*(x^2))+(b*x))+a)),1.52384,86
HDV,Rigid <=7.5 t,RT <=7.5t 80ties,Conventional,NOx,100,0%,0.9413084092,35.4873027397,1.0138117438,-0.7134093147,0,0,0,0,12,86,0,86,((a*(b^x))*(x^c)),4.81186,86
HDV,Rigid <=7.5 t,RT <=7.5t 80ties,Conventional,HC,100,0%,0.9902628119,15.3609634537,0.9952469586,-0.6585740718,0,0,0,0,12,86,0,86,((a*(b^x))*(x^c)),0.54258,86
HDV,Rigid <=7.5 t,RT <=7.5t 80ties,Conventional,PM,100,0%,0.9950026051,5.734831348,1.0083843014,-0.8834141684,0,0,0,0,12,86,0,86,((a*(b^x))*(x^c)),0.22983,86
HDV,Rigid <=7.5 t,RT <=7.5t 80ties,Conventional,FC,100,0%,0.9753395276,-0.0005498858,0.1241422871,-8.7251718164,309.3581537573,0,0,0,12,86,14,86,(((a*(x^3))+(b*(x^2))+(c*x))+d),127.39154,86
HDV,Rigid <=7.5 t,RT <=7.5t 80ties,Conventional,CO,0,-6%,0.9878151776,6.390745937,-12.9338362046,-1.7880933817,0,0,0,0,12,86,13,86,rxp((a+(b/x))+(c*ln(x))),0.17827,86
HDV,Rigid <=7.5 t,RT <=7.5t 80ties,Conventional,NOx,0,-6%,0.9813400962,6.8211458945,-13.5010149455,-1.8694907654,0,0,0,0,12,86,13,86,rxp((a+(b/x))+(c*ln(x))),0.18953,86
HDV,Rigid <=7.5 t,RT <=7.5t 80ties,Conventional,HC,0,-6%,0.9947674105,0.1423441802,17.5857186697,0.05263278,0.7249141952,0.026949297,0,0,12,86,10,86,(a+(b/(1+rxp((((-1)*c)+(d*ln(x)))+(e*x))))),0.21435,86
HDV,Rigid <=7.5 t,RT <=7.5t 80ties,Conventional,PM,0,-6%,0.9935847362,3.8951628796,-9.1870951046,-1.5748502351,0,0,0,0,12,86,13,86,rxp((a+(b/x))+(c*ln(x))),0.03969,86
HDV,Rigid <=7.5 t,RT <=7.5t 80ties,Conventional,FC,0,-6%,0.9852141742,11.0676802353,-15.5546332292,-2.0436555588,0,0,0,0,12,86,13,86,rxp((a+(b/x))+(c*ln(x))),5.95160,86
HDV,Rigid <=7.5 t,RT <=7.5t 80ties,Conventional,CO,50,-6%,0.9874598031,7.4703961185,-17.8130690082,-2.0799220522,0,0,0,0,12,86,13,86,rxp((a+(b/x))+(c*ln(x))),0.13514,86
HDV,Rigid <=7.5 t,RT <=7.5t 80ties,Conventional,NOx,50,-6%,0.9801918184,7.6634878666,-17.2245500708,-2.1014123886,0,0,0,0,12,86,13,86,rxp((a+(b/x))+(c*ln(x))),0.14999,86
