Engine type,Pollutant,Emission standard,Vmin,Vmax,a5,a4,a3,a2,a1,a0
4-Stroke 250-750,NOx,Conventional,0,140,5.33E-010,-1.66E-007,1.91E-005,-9.30E-004,2.02E-002,8.54E-002
4-Stroke 250-750,NOx,Euro 1,0,140,6.46E-011,-1.74E-008,1.41E-006,1.98E-005,-1.79E-003,2.45E-001
4-Stroke 250-750,NOx,Euro 2,0,140,-9.30E-012,5.28E-009,-1.05E-006,1.39E-004,-6.92E-003,1.86E-001
4-Stroke 250-750,NOx,Euro 3,0,140,-1.93E-011,8.17E-009,-1.30E-006,1.18E-004,-4.82E-003,1.07E-001
4-Stroke 250-750,HC,Conventional,0,140,-7.76E-010,3.62E-007,-6.49E-005,5.79E-003,-2.81E-001,7.66E+000
4-Stroke 250-750,HC,Euro 1,0,140,-4.12E-010,1.88E-007,-3.28E-005,2.90E-003,-1.40E-001,3.95E+000
4-Stroke 250-750,HC,Euro 2,0,140,-2.25E-010,1.01E-007,-1.69E-005,1.44E-003,-6.51E-002,1.75E+000
4-Stroke 250-750,HC,Euro 3,0,140,-1.18E-010,5.44E-008,-9.25E-006,8.12E-004,-3.81E-002,1.06E+000
4-Stroke 250-750,PM,Conventional,10,110,0,0,0,0,0,2.00E-002
4-Stroke 250-750,PM,Euro 1,10,110,0,0,0,0,0,2.00E-002
4-Stroke 250-750,PM,Euro 2,10,110,0,0,0,0,0,5.00E-003
4-Stroke 250-750,PM,Euro 3,10,110,0,0,0,0,0,5.00E-003
4-Stroke 250-750,FC,Conventional,0,140,-1.60E-008,6.94E-006,-1.15E-003,9.55E-002,-3.98E+000,1.02E+002
4-Stroke 250-750,FC,Euro 1,0,140,-1.23E-008,5.43E-006,-9.26E-004,8.06E-002,-3.52E+000,9.25E+001
4-Stroke 250-750,FC,Euro 2,0,140,-1.23E-008,5.41E-006,-9.14E-004,7.82E-002,-3.33E+000,8.51E+001
4-Stroke 250-750,FC,Euro 3,0,140,-1.23E-008,5.41E-006,-9.14E-004,7.82E-002,-3.33E+000,8.51E+001
4-Stroke > 750,CO,Conventional,0,140,-9.99E-009,4.37E-006,-7.40E-004,6.30E-002,-2.68E+000,6.40E+001
4-Stroke > 750,CO,Euro 1,0,140,-1.22E-008,4.83E-006,-6.90E-004,4.58E-002,-1.49E+000,2.99E+001
4-Stroke > 750,CO,Euro 2,0,140,-2.02E-010,3.31E-007,-7.18E-005,7.73E-003,-4.02E-001,9.72E+000
4-Stroke > 750,CO,Euro 3,0,140,-1.19E-010,1.85E-007,-3.99E-005,4.28E-003,-2.22E-001,5.36E+000
4-Stroke > 750,NOx,Conventional,0,140,1.35E-010,-5.13E-008,7.64E-006,-4.64E-004,1.14E-002,3.94E-002
4-Stroke > 750,NOx,Euro 1,0,140,-3.49E-011,1.24E-008,-1.99E-006,2.36E-004,-1.10E-002,3.06E-001
4-Stroke > 750,NOx,Euro 2,0,140,1.48E-011,-3.65E-009,2.88E-007,9.91E-005,-8.52E-003,2.75E-001
4-Stroke > 750,NOx,Euro 3,0,140,2.88E-012,2.56E-010,-2.09E-007,7.75E-005,-5.27E-003,1.53E-001
4-Stroke > 750,HC,Conventional,0,140,-7.48E-010,3.30E-007,-5.68E-005,5.17E-003,-2.65E-001,7.69E+000
4-Stroke > 750,HC,Euro 1,0,140,-6.34E-010,2.94E-007,-5.15E-005,4.48E-003,-2.05E-001,4.74E+000
4-Stroke > 750,HC,Euro 2,0,140,-2.98E-010,1.46E-007,-2.59E-005,2.24E-003,-9.62E-002,1.97E+000
4-Stroke > 750,HC,Euro 3,0,140,-1.96E-010,9.43E-008,-1.65E-005,1.41E-003,-6.00E-002,1.22E+000
4-Stroke > 750,PM,Conventional,10,110,0,0,0,0,0,2.00E-002
4-Stroke > 750,PM,Euro 1,10,110,0,0,0,0,0,2.00E-002
4-Stroke > 750,PM,Euro 2,10,110,0,0,0,0,0,5.00E-003
4-Stroke > 750,PM,Euro 3,10,110,0,0,0,0,0,5.00E-003
4-Stroke > 750,FC,Conventional,0,140,-1.82E-008,7.98E-006,-1.35E-003,1.14E-001,-4.82E+000,1.21E+002
4-Stroke > 750,FC,Euro 1,0,140,-1.78E-008,7.81E-006,-1.33E-003,1.13E-001,-4.87E+000,1.23E+002
4-Stroke > 750,FC,Euro 2,0,140,-1.83E-008,8.05E-006,-1.36E-003,1.16E-001,-4.94E+000,1.21E+002
4-Stroke > 750,FC,Euro 3,0,140,-1.83E-008,8.05E-006,-1.36E-003,1.16E-001,-4.94E+000,1.21E+002
